Codelist_Name,ERAP_Number,Project_Title,Author,Coding System,Year_Created,DOI_Publication,Path_to_Codelist,Codelist on Github
Multiple Sclerosis (MS),22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Multiplesclerosis.txt,Yes
Myeloma,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Myeloma_with_SNOMED_Update.csv,Yes
Myocardial Infarction,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_mi.csv,Yes
"Myocardial Infarction, Angina",22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_MI%20angina%20Aurum%20VF%206%20March%202022.csv,Yes
Neutrophil count,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/NeutrophilCount_with_SNOMED_Update.csv,Yes
Nuetrophil Percentage,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/NeutrophilPercentage_with_SNOMED_Update.csv,Yes
Number of days per week of mod intensity physical activity,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/NumDaysPhysAct_with_SNOMED_Update.csv,Yes
Obstructive Sleep Apnoea,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Aurum_OSA_codelist_240322.txt,Yes
Obstructive Sleep Apnoea,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Gold_OSA_codelist_240322.txt,Yes
Obstructive Sleep Apnoea,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Obstructivesleepapnoea.txt,Yes
Osteoarthritis,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/IE_CL_Osteoarthritis.txt,Yes
Osteoarthritis,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Covariates-Osteoarthristis.txt,Yes
Osteoporosis,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Osteoporosis_QOF_Codelist.csv,Yes
Palpitations,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Palpitations_with_SNOMED_Update.csv,Yes
Parkinson's Disease,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/IE_CL_Parkinsons.txt,Yes
Parkinson's Disease,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_Parkinsons.csv,Yes
Patient Health Questionnaire 9 (PHQ-9),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/PHQ-9_with_SNOMED_Update.csv,Yes
Peak flow rate (PFR),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/PeakFlowRate_with_SNOMED_Update.csv,Yes
Peripheral Arterial Disease,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Peripheral_Arterial_Disease_QOF_Codelist.csv,Yes
Peripheral Artery Disease (PAD),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Peripheral%20Vasc%20disease/Aurum_PAD_codelist_080322.txt,Yes
Peripheral Artery Disease (PAD),21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Peripheral%20Vasc%20disease/Gold_PAD_codelist_080322.txt,Yes
Physical Activity,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Physicalactivity.txt,Yes
Plasma viscosity,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/PlasmaViscosity_with_SNOMED_Update.csv,Yes
Platelet count,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/PlateletCount_with_SNOMED_Update.csv,Yes
Platelets,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/Platelet_Aurum181022.txt,Yes
Platelets,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/platelets_Gold181022.txt,Yes
Platelets - Continuous,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/CWD_CL_Platelets_Continuous_20241203.txt,Yes
Polycystic Ovary Syndrome (PCOS),22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/AK_CL_PCOS.txt,Yes
Polycystic Ovary Syndrome (PCOS),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/PCOS_with_SNOMED_Update.csv,Yes
"Poor Mobility, Parkinsons",22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Poor%20mobility%20Parkinson%20Aurum%20VF%2027%20March%202022.csv,Yes
Postpartum Haemorrhage (PPH),22_001273,Evaluation of Anaemia in a Primary Care Population,Sarah Haynes,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SH_AK_PPH.txt,Yes
Predicted peak flow rate,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/PredictedPeakFlowRate_with_SNOMED_Update.csv,Yes
Preeclampsia,22_001273,Evaluation of Anaemia in a Primary Care Population,Sarah Haynes,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SH_AK_Preeclampsia.txt,Yes
Preterm Birth,22_001273,Evaluation of Anaemia in a Primary Care Population,Sarah Haynes,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SH_AK_PreTerm_Birth.txt,Yes
Protein C level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Protein_C_with_SNOMED_Update.csv,Yes
Protein S level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Protein_S_with_SNOMED_Update.csv,Yes
Psychosis - Diagnosis,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Psychosis_diagnosis_20240304.txt,Yes
Psychosis - Referral,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Psychosis_referral_20240304.txt,Yes
Pulse rate,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Pulse_with_SNOMED_Update.csv,Yes
Random blood sugar,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/RandomBloodSugar_with_SNOMED_Update.csv,Yes
Red blood cell count (RBC),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/RedBloodCellCount_with_SNOMED_Update.csv,Yes
Red blood cell distribution width (RDW),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/RDW_with_SNOMED_Update.csv,Yes
Renal Failure,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Renalfailure.txt,Yes
Rheumatoid Arthritis,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/IE_CL_Rheumatoid_Arthritis.txt,Yes
Rheumatoid Arthritis,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Rheumatoid_Arthritis_QOF_Codelist.csv,Yes
Rheumatoid Arthritis,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Aurum_RheumArthritis_codelist_090922.txt,Yes
Rheumatoid Arthritis,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Gold_RheumArthritis_codelist_090922.txt,Yes
"Rheumatoid Arthritis, Systemic Lupus Erythematosus (SLE)",22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Rheumatoid%20arthritis%20or%20SLE%20Aurum%20VF%2027%20March%202022.csv,Yes
"Rheumatoid Arthritis, Systemic Lupus Erythematosus (SLE)",22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_Rheumatoid%20arthritis%20and%20SLE.csv,Yes
Rheumatoid factor,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/RheumatoidFactor_with_SNOMED_Update.csv,Yes
Rhinitis,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/VM_CL_Rhinitis.txt,Yes
Rubella,22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/Rubella.csv,Yes
Sarcopenia,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Sarcopenia.txt,Yes
Schizoprenia - Diagnosis,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_Schizophrenia_diagnosis_20240304.txt,Yes
Self Harm,22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Self-injurious%20behaviour%20Aurum%20VF%2027%20March%202022.csv,Yes
Self Harm,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_Self-injur%20and%20harm.csv,Yes
Sepsis,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Sepsis_with_SNOMED_Update.csv,Yes
Serum Alanine Amino Transferase - Continuous,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/CWD_CL_SerumAlanineAminoTransferase_Continuous_20241203.txt,Yes
Serum alanine aminotransferase level (ALT),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumAminotransferaseALT_with_SNOMED_Update.csv,Yes
Serum albumin level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumAlbumin_with_SNOMED_Update.csv,Yes
Serum alkaline phosphatase level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumAlkalinePhosphatase_with_SNOMED_Update.csv,Yes
Serum amylase level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumAmylase_with_SNOMED_Update.csv,Yes
Serum Aspartate Aminotransferase level,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/CWD_CL_SerumAspartateAminoTransferase_Continuous_20241203.txt,Yes
Serum Aspartate Aminotransferase level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumAspartateTransaminase_with_SNOMED_Update.csv,Yes
Serum bilirubin level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumBilrubin_with_SNOMED_Update.csv,Yes
Serum calcium level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumCalcium_with_SNOMED_Update.csv,Yes
Serum cholesterol/high density lipoprotein ratio (HDL),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Total_Chol_HDL_ratio_with_SNOMED_Update.csv,Yes
Serum creatinine level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumCreatinine_with_SNOMED_Update.csv,Yes
Serum folate level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Folate_with_SNOMED_Update.csv,Yes
Serum iron level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumIron_with_SNOMED_Update.csv,Yes
Serum lactate dehydrogenase level (LDH),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/LactateDehydrongenase_with_SNOMED_Update.csv,Yes
Serum low density lipoprotein cholesterol level (LDL Cholesterol),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/LDL_Cholesterol_with_SNOMED_Update.csv,Yes
Serum non high density lipoprotein cholesterol level (Non HDL Cholesterol),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/NonHDL_Cholesterol_with_SNOMED_Update.csv,Yes
Serum oestradiol level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Oestradiol_with_SNOMED_Update.csv,Yes
Serum potassium level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumPotassium_with_SNOMED_Update.csv,Yes
Serum pro-BNP peptide level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumProBNPPeptide_with_SNOMED_Update.csv,Yes
Serum progesterone level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Progesterone_with_SNOMED_Update.csv,Yes
Serum sodium level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumSodium_with_SNOMED_Update.csv,Yes
Serum thyroid stimulating hormone level (TSH),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/ThyroidStimulatingHormone_with_SNOMED_Update.csv,Yes
Serum total cholesterol level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/TotalSerumCholesterol_with_SNOMED_Update.csv,Yes
Serum total iron binding capacity (TBIC),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/TotalIronBindingCapacity_with_SNOMED_Update.csv,Yes
Serum total protein,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumProtein_with_SNOMED_Update.csv,Yes
Serum urea level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumUrea_with_SNOMED_Update.csv,Yes
Serum vitamin B12 level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/SerumB12_with_SNOMED_Update.csv,Yes
Serum vitamin D level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/VitaminD_with_SNOMED_Update.csv,Yes
Severe Mental Illness,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Severe_Mental_Illness_QOF_Codelist.csv,Yes
Severe Mental Illness Symptoms,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Outcomes/Min_CL_SMI_symptom_20240304.txt,Yes
Skin Infection,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Skinsofttissueinfection.txt,Yes
Skin Lesion,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Aurum_skinlesion_codelist_300323.txt,Yes
Skin Lesion,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Gold_skinlesion_codelist_300323.txt,Yes
Smoking,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Smoking_with_SNOMED_Update.csv,Yes
Smoking,22-001836,CHD Anaemia,"Cynthia Wright Drakesmith, Margaret Smith",Gold,2024,,https://github.com/ndpchs-cprd/22_001836_CHD_Anaemia/blob/main/Codelists/Smoking.csv,Yes
Smoking,22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_smoking.csv,Yes
Smoking,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Smoking.txt,Yes
Smoking - Current Smoker,22_001273,Evaluation of Anaemia in a Primary Care Population,Sarah Haynes,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SH_AK_Current_Smoker.txt,Yes
Smoking - Ex Smoker,22_001273,Evaluation of Anaemia in a Primary Care Population,Sarah Haynes,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SH_AK_Ex_Smoker.txt,Yes
Smoking - Never Smoked,22_001273,Evaluation of Anaemia in a Primary Care Population,Sarah Haynes,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SH_AK_Never_Smoked.txt,Yes
Stroke,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/AK_CL_Stroke.txt,Yes
Stroke,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Stroke.txt,Yes
Stroke (TIA),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Conditions/Stroke_TIA_QOF_Codelists.csv,Yes
"Stroke, Transient Ischaemic Attack (TIA)",22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_Stroke%20TIA%20Aurum%20VF%2027%20March%202022.csv,Yes
"Stroke, Transient Ischaemic Attack (TIA)",22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_stroke%20and%20tia.csv,Yes
Systolic Blood Pressure,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Systolic_with_SNOMED_Update.csv,Yes
Systolic Blood Pressure,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Systolic_20240417.txt,Yes
Transplant - Liver,22_001273,Evaluation of Anaemia in a Primary Care Population,Suzanne Maynard,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/SM_CL_livertransplant.txt,Yes
Thrombocythaemia,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/Aurum_Thrombocythaemia_codes141022.txt,Yes
Thrombocythaemia,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/Gold_Thrombocythaemia_codes141022.txt,Yes
Thrombocytopenia,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/Aurum_Thrombocytopenia_codes141022.txt,Yes
Thrombocytopenia,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Tests/Gold_Thrombocytopenia_codes141022.txt,Yes
Thyroid Disease,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Thyroiddisease.txt,Yes
Thyrotoxicosis,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Thyrotoxicosis_with_SNOMED_Update.csv,Yes
Tinnitus,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Tinnitus_with_SNOMED_Update.csv,Yes
