readcode	readterm	medcode
"B58y300"	"Secondary malignant neoplasm of vagina"	70736
"B58y400"	"Secondary malignant neoplasm of vulva"	60335
"B58y411"	"Secondary cancer of the vulva"	65490
"B58y500"	"Secondary malignant neoplasm of prostate"	21590
"B58y600"	"Secondary malignant neoplasm of testis"	34145
"B58y700"	"Secondary malignant neoplasm of penis"	49145
"B58y800"	"Secondary malignant neoplasm of epididymis and vas deferens"	104480
"B58y900"	"Secondary malignant neoplasm of tongue"	45824
"B58yz00"	"Secondary malignant neoplasm of other specified site NOS"	22524
"B58z.00"	"Secondary malignant neoplasm of other specified site NOS"	16500
"B590.00"	"Disseminated malignancy NOS"	13569
"B590.11"	"Carcinomatosis"	6170
"B594.00"	"Secondary malignant neoplasm of unknown site"	54679
"BB03.00"	"[M]Neoplasm, metastatic"	3197
"BB03.11"	"[M]Secondary neoplasm"	6985
"BB04.00"	"[M]Neoplasm, malig, uncertain whether primary or metastatic"	22267
"BB13.00"	"[M]Carcinoma, metastatic, NOS"	3152
"BB2B.00"	"[M]Squamous cell carcinoma, metastatic NOS"	24293
"BB53.00"	"[M]Adenocarcinoma, metastatic, NOS"	5455
"BB85100"	"[M]Metastatic signet ring cell carcinoma"	54874
"BBy2.00"	"[M]No microscopic confirmation tumour, clinically metastatic"	104699
"ByuC.00"	"[X]Malignant neoplasm of ill-defined, secondary and unspeci"	35186
"ByuC300"	"[X]Secondary malignant neoplasm/oth+unspc respiratory organs"	57481
"ByuC400"	"[X]Secondary malignant neoplasm/oth+unspcfd digestive organs"	88022
"ByuC700"	"[X]Secondary malignant neoplasm of other specified sites"	54253
"C354A00"	"Metastatic calcification"	12204
"G240000"	"Secondary malignant renovascular hypertension"	59383
